Enzyme	Concentration
R_rxn11838_c_duplicate_4_enzyme	0.0
R_rxn11612_c_enzyme	0.0
R_rxn09296_c_duplicate_2_enzyme	0.0
R_rxn08792_c_duplicate_2_enzyme	0.0
R_rxn12642_c_duplicate_5_enzyme	0.0
R_rxn00278_c_enzyme	1.1726968045081267e-05
R_rxn05384_c_duplicate_2_enzyme	0.0
R_rxn06865_c_enzyme	0.0
R_rxn12637_c_duplicate_4_enzyme	0.0
R_rxn00799_c_duplicate_2_enzyme	2.182833914683935e-05
R_rxn00165_c_enzyme	0.0
R_rxn05734_c_enzyme	0.0
R_rxn01673_c_enzyme	1.4339872011265087e-08
R_rxn01053_c_enzyme	0.0
R_rxn05005_c_enzyme	0.0
R_rxn00650_c_enzyme	0.0
R_EX_cpd00149_e_enzyme	0
R_rxn11834_c_duplicate_6_enzyme	0.0
R_rxn01019_c_enzyme	3.898263076558477e-06
R_EX_cpd00011_e_enzyme	0
R_rxn12847_c_enzyme	0.0
R_rxn03052_c_enzyme	0.0
R_rxn11725_c_enzyme	0.0
R_rxn10162_c_duplicate_4_enzyme	0.0
R_rxn00002_c_enzyme	0.0
R_rxn00145_c_duplicate_2_enzyme	0.0
R_rxn03887_c_enzyme	0.0
R_rxn08298_c_enzyme	0.0
R_rxn04598_c_enzyme	0.0
R_rxn00616_c_enzyme	0.0
R_rxn03409_c_enzyme	0.0
R_rxn00627_c_enzyme	8.190064978966643e-07
R_rxn07433_c_enzyme	0.0
R_rxn05453_c_enzyme	0.0
R_rxn00302_c_enzyme	8.483750875606097e-10
R_rxn00119_c_enzyme	0.0
R_rxn01171_c_enzyme	0.0
R_rxn00002_c_duplicate_4_enzyme	0.0
R_rxn05183_c_enzyme	0.0
R_rxn00540_c_enzyme	0.0
R_rxn07885_c_enzyme	0.0
R_rxn01893_c_enzyme	0.0
R_rxn12646_c_duplicate_2_enzyme	0.0
R_rxn03481_c_duplicate_5_enzyme	0.0
R_rxn05396_c_duplicate_2_enzyme	0.0
R_rxn00549_c_duplicate_3_enzyme	0.0
R_rxn01116_c_duplicate_2_enzyme	0.0
R_rxn02791_c_enzyme	0.0
R_rxn02680_c_duplicate_4_enzyme	0.0
R_rxn00931_c_enzyme	0.0
R_rxn00904_c_enzyme	8.33698105316415e-06
R_rxn05377_c_enzyme	0.0
R_rxn01210_c_enzyme	0.0
R_rxn03842_c_enzyme	0.0
R_rxn10267_c_enzyme	0.0
R_rxn08839_c_enzyme	0.0
R_rxn02791_c_duplicate_2_enzyme	0.0
R_rxn01143_c_enzyme	0.0
R_rxn00321_c_enzyme	0.0
R_rxn05024_c_duplicate_2_enzyme	0.0
R_rxn05647_c_enzyme	0.0
R_rxn01115_c_enzyme	0.0
R_rxn05516_c_duplicate_2_enzyme	0.0
R_rxn04413_c_enzyme	0.0
R_rxn09448_c_duplicate_5_enzyme	0.0
R_rxn12639_c_enzyme	0.0
R_rxn00272_c_duplicate_2_enzyme	1.7973115371384276e-06
R_rxn08620_c_enzyme	0.0
R_rxn08438_c_enzyme	0.0
R_rxn02406_c_duplicate_2_enzyme	0.0
