R_rxn00283_c_duplicate_2_enzyme	1xPN96_14910
R_rxn00285_c_enzyme	1xPN96_09270	1xPN96_09265
R_rxn00288_c_enzyme	1xPN96_09300
R_rxn00288_c_duplicate_2_enzyme	1xPN96_09295
R_rxn00288_c_duplicate_3_enzyme	1xPN96_14370
R_rxn00288_c_duplicate_4_enzyme	1xPN96_14385
R_rxn00288_c_duplicate_5_enzyme	1xPN96_14375
R_rxn00288_c_duplicate_6_enzyme	1xaverage_protein_Cytoplasm	1xPN96_09290	1xPN96_09285
R_rxn00289_c_enzyme	1xPN96_05345
R_rxn00291_c_enzyme	1xPN96_06805
R_rxn00293_c_enzyme	3xPN96_13430
R_rxn00293_c_duplicate_2_enzyme	4xPN96_20845
R_rxn00293_c_duplicate_3_enzyme	4xPN96_08305
R_rxn00295_c_enzyme	1xPN96_15935
R_rxn00295_c_duplicate_2_enzyme	1xPN96_20615
R_rxn00295_c_duplicate_3_enzyme	1xPN96_22140
R_rxn00299_c_enzyme	1xPN96_18205
R_rxn00300_c_enzyme	2xPN96_10105
R_rxn00300_c_duplicate_2_enzyme	1xPN96_04090
R_rxn00302_c_enzyme	1xPN96_18205
R_rxn00303_c_enzyme	1xPN96_12570
R_rxn00303_c_duplicate_2_enzyme	1xPN96_01060
R_rxn00305_c_enzyme	1xPN96_12450
R_rxn00313_c_enzyme	2xPN96_13880
R_rxn00314_c_enzyme	1xPN96_00825
R_rxn00320_c_enzyme	1xPN96_13240
R_rxn00320_c_duplicate_2_enzyme	1xPN96_02805
R_rxn00321_c_enzyme	1xPN96_14355
R_rxn00324_c_enzyme	1xaverage_protein_Cytoplasm	1xPN96_00450
R_rxn00328_c_enzyme	1xPN96_16560
R_rxn00328_c_duplicate_2_enzyme	1xPN96_13060
R_rxn00330_c_enzyme	1xPN96_10585
R_rxn00332_c_enzyme	2xPN96_08910
R_rxn00336_c_enzyme	1xPN96_10580
R_rxn00337_c_enzyme	1xPN96_14770
R_rxn00337_c_duplicate_2_enzyme	1xPN96_11055
R_rxn00337_c_duplicate_3_enzyme	1xPN96_01145
R_rxn00337_c_duplicate_4_enzyme	1xPN96_00270
R_rxn00338_c_enzyme	1xPN96_00990
R_rxn00345_c_enzyme	1xPN96_17265
R_rxn00347_c_enzyme	1xPN96_19470
R_rxn00347_c_duplicate_2_enzyme	1xPN96_14275
R_rxn00350_c_enzyme	1xPN96_06305
R_rxn00350_c_duplicate_2_enzyme	1xPN96_13735
R_rxn00351_c_enzyme	1xPN96_00855
R_rxn00355_c_enzyme	1xPN96_15930
R_rxn00355_c_duplicate_2_enzyme	1xPN96_22135
R_rxn00358_c_enzyme	1xPN96_12385
R_rxn00361_c_enzyme	1xPN96_11810
R_rxn00361_c_duplicate_2_enzyme	1xPN96_12315
R_rxn00363_c_enzyme	1xPN96_20755
R_rxn00363_c_duplicate_2_enzyme	1xPN96_07525
R_rxn00363_c_duplicate_3_enzyme	1xPN96_09695
R_rxn00364_c_enzyme	1xPN96_03620
R_rxn00365_c_enzyme	1xPN96_03440
R_rxn00365_c_duplicate_2_enzyme	1xPN96_21535
R_rxn00368_c_enzyme	1xPN96_03440
R_rxn00368_c_duplicate_2_enzyme	1xPN96_21535
R_rxn00369_c_enzyme	1xPN96_03440
R_rxn00369_c_duplicate_2_enzyme	1xPN96_21535
R_rxn00371_c_enzyme	1xPN96_20410
R_rxn00375_c_enzyme	1xPN96_06485
R_rxn00376_c_enzyme	1xPN96_17265
R_rxn00379_c_enzyme	1xPN96_12310
R_rxn00379_c_duplicate_2_enzyme	1xPN96_11825
R_rxn00379_c_duplicate_3_enzyme	1xPN96_11820
R_rxn00379_c_duplicate_4_enzyme	1xPN96_12325
R_rxn00390_c_enzyme	1xPN96_17265
R_rxn00392_c_enzyme	1xPN96_10880
R_rxn00394_c_enzyme	1xPN96_06580
R_rxn00394_c_duplicate_2_enzyme	1xPN96_06615
R_rxn00395_c_enzyme	1xPN96_00580
R_rxn00404_c_enzyme	2xPN96_18165
R_rxn00405_c_enzyme	1xPN96_16870
R_rxn00406_c_enzyme	1xPN96_13240
R_rxn00406_c_duplicate_2_enzyme	1xPN96_02805
R_rxn00409_c_enzyme	4xPN96_10485
R_rxn00410_c_enzyme	4xPN96_01070
R_rxn00410_c_duplicate_2_enzyme	4xPN96_14805
R_rxn00412_c_enzyme	4xPN96_01070
R_rxn00412_c_duplicate_2_enzyme	4xPN96_14805
R_rxn00414_c_enzyme	1xPN96_11150	1xPN96_11155
R_rxn00416_c_enzyme	1xPN96_09380
R_rxn00420_c_enzyme	1xPN96_01765
R_rxn00420_c_duplicate_2_enzyme	1xPN96_16580
R_rxn00420_c_duplicate_3_enzyme	1xPN96_17380
R_rxn00422_c_enzyme	1xPN96_06300
R_rxn00422_c_duplicate_2_enzyme	1xPN96_00275
R_rxn00423_c_enzyme	1xPN96_14415
R_rxn00428_c_enzyme	1xPN96_20275
R_rxn00428_c_duplicate_2_enzyme	1xPN96_13870
R_rxn00433_c_enzyme	1xPN96_22180	1xPN96_22170
R_rxn00438_c_enzyme	1xPN96_10090
R_rxn00441_c_enzyme	1xPN96_09280
R_rxn00452_c_enzyme	1xPN96_06465
R_rxn00459_c_enzyme	1xPN96_01075
R_rxn00461_c_enzyme	1xPN96_00550
R_rxn00469_c_enzyme	4xPN96_00795
R_rxn00469_c_duplicate_2_enzyme	1xPN96_15500
R_rxn00469_c_duplicate_3_enzyme	1xPN96_15570
R_rxn00470_c_enzyme	2xPN96_13880
