Enzyme	Concentration
R_HIBHrm_duplicate_19_enzyme	0.0
R_3HBZt_enzyme	0
R_UAMAGS_enzyme	4.791560769081117e-07
R_2HBAt_enzyme	0
R_4HPHEA2_enzyme	0.0
R_GPDDA2_enzyme	0.0
R_GPDDA2_duplicate_2_enzyme	0.0
R_THRD_L_enzyme	0.0
R_THRD_L_duplicate_2_enzyme	0.0
R_HBZOPT_enzyme	0.0
R_4HPHEA1_enzyme	0.0
R_GPDDA3_enzyme	0.0
R_GPDDA3_duplicate_2_enzyme	0.0
R_HOMOGD_enzyme	0.0
R_GLNTRS_enzyme	1.1574814243369434e-06
R_GPDDA4_enzyme	0.0
R_GPDDA4_duplicate_2_enzyme	0.0
R_ACALD_enzyme	0.0
R_ACALD_duplicate_2_enzyme	0.0
R_ACALD_duplicate_3_enzyme	0.0
R_ACALD_duplicate_4_enzyme	0.0
R_GPDDA5_enzyme	0.0
R_GPDDA5_duplicate_2_enzyme	0.0
R_MELIBt2_enzyme	0
R_2H4HMBZP_enzyme	0.0
R_2H4HMBZP_duplicate_2_enzyme	0.0
R_2H4HMBZP_duplicate_3_enzyme	0.0
R_2H4HMBZP_duplicate_4_enzyme	0.0
R_2H4HMBZP_duplicate_5_enzyme	0.0
R_2H4HMBZP_duplicate_6_enzyme	0.0
R_2H4HMBZP_duplicate_7_enzyme	0.0
R_GPDDA1_enzyme	0.0
R_GPDDA1_duplicate_2_enzyme	0.0
R_HISTD_enzyme	0.0
R_HISTD_duplicate_2_enzyme	0.0
R_G1PCYTF_enzyme	0.0
R_CYTBD_enzyme	0
R_OCTDPS_enzyme	0
R_INDOLEt2r_enzyme	0
R_NMNAT_enzyme	1.3816124789773082e-07
R_XTSNtr_enzyme	0
R_IMPC_enzyme	0.0
R_TYRTA_enzyme	0.0
R_TYRTA_duplicate_2_enzyme	0.0
R_GLYOX_enzyme	0.0
R_GLYOX_duplicate_2_enzyme	0.0
R_GLYOX_duplicate_3_enzyme	0.0
R_GLYOX_duplicate_4_enzyme	0.0
R_GLYOX_duplicate_5_enzyme	0.0
R_GLYOX_duplicate_6_enzyme	0.0
R_4HPHED2_enzyme	0.0
R_ALDH_enzyme	0.0
R_ALDH_duplicate_2_enzyme	0.0
R_ALDH_duplicate_3_enzyme	0.0
R_ALDH_duplicate_4_enzyme	0.0
R_ALDH_duplicate_5_enzyme	0.0
R_ALDH_duplicate_6_enzyme	0.0
R_ALDH_duplicate_7_enzyme	0.0
R_ALDH_duplicate_8_enzyme	0.0
R_ALDH_duplicate_9_enzyme	0.0
R_ALDH_duplicate_10_enzyme	0.0
R_ALDH_duplicate_11_enzyme	0.0
R_ALDH_duplicate_12_enzyme	0.0
R_ALDH_duplicate_13_enzyme	0.0
R_ALDH_duplicate_14_enzyme	0.0
R_4HPHED1_enzyme	0.0
R_TDPGDH_enzyme	0.0
R_TDPGDH_duplicate_2_enzyme	0.0
R_TDPGDH_duplicate_3_enzyme	0.0
R_TDPGDH_duplicate_4_enzyme	0.0
R_CHRPL_enzyme	0.0
R_THRAD2_enzyme	0.0
R_THRA_enzyme	0.0
R_PYK3_enzyme	0.0
R_PYK3_duplicate_2_enzyme	0.0
R_PYK3_duplicate_3_enzyme	0.0
R_PYK1_enzyme	0.0
R_PYK1_duplicate_2_enzyme	0.0
R_PYK1_duplicate_3_enzyme	0.0
R_PYK2_enzyme	0.0
R_PYK2_duplicate_2_enzyme	0.0
R_PYK2_duplicate_3_enzyme	0.0
R_TAh_enzyme	1.1403914630413055e-07
R_DHQS_enzyme	3.1943738460489714e-09
R_PPPNDO_enzyme	0.0
R_SULFR_enzyme	0.0
R_DB4PS_enzyme	0.0
R_DB4PS_duplicate_2_enzyme	0.0
R_DB4PS_duplicate_3_enzyme	7.933628868645166e-12
R_ARGTRS_enzyme	2.219836308045136e-06
R_PHEMEAS_enzyme	0.0
R_PHOXDR_enzyme	0.0
R_PHOXDR_duplicate_2_enzyme	0.0
R_PHOXDR_duplicate_3_enzyme	0.0
R_GLCP_enzyme	0.0
R_2BHPPPH_enzyme	0.0
R_2BHPPPH_duplicate_2_enzyme	0.0
R_2BHPPPH_duplicate_3_enzyme	0.0
R_2BHPPPH_duplicate_4_enzyme	0.0
R_FMNAT_enzyme	3.826509100632869e-12
R_NH4t_enzyme	0
R_FDH_enzyme	0.0
R_FDH_duplicate_2_enzyme	0.0
R_FDH_duplicate_3_enzyme	0.0
R_FDH_duplicate_4_enzyme	0.0
R_FDH_duplicate_5_enzyme	0.0
R_FDH_duplicate_6_enzyme	0.0
R_ADK3_enzyme	6.367765058621651e-05
R_ANTOXDR_enzyme	0.0
R_ANTOXDR_duplicate_2_enzyme	0.0
R_ANTOXDR_duplicate_3_enzyme	0.0
R_ADK4_enzyme	0.0
R_ADK1_enzyme	5.763571247987845e-05
R_BTPT2_enzyme	0.0
R_BTPT1_enzyme	0.0
R_SULALDAC_enzyme	0.0
R_GALTpts_enzyme	0
R_34DHDHF_enzyme	0.0
R_34DHDHF_duplicate_2_enzyme	0.0
R_CYSabc_enzyme	4.607697431296235e-08
R_CYSabc_duplicate_2_enzyme	0.0
R_CYSabc_duplicate_3_enzyme	0.0
R_CYSabc_duplicate_4_enzyme	0.0
R_CYSabc_duplicate_5_enzyme	0.0
R_CYSabc_duplicate_6_enzyme	0.0
R_ACP1p_enzyme	0.0
R_ACP1p_duplicate_2_enzyme	0.0
R_SALCH1_enzyme	0.0
R_SALCH1_duplicate_2_enzyme	0.0
R_SALCH1_duplicate_3_enzyme	0.0
R_SALCH1_duplicate_4_enzyme	0.0
R_SALCH1_duplicate_5_enzyme	0.0
R_GMPS_enzyme	0.0
R_DGSNt2_enzyme	0
R_ACODA_enzyme	0.0
R_ACODA_duplicate_2_enzyme	0.0
R_KDOCT2_enzyme	1.900652438402176e-07
R_SALCH5_enzyme	0.0
R_SALCH5_duplicate_2_enzyme	0.0
R_SALCH5_duplicate_3_enzyme	0.0
R_SALCH5_duplicate_4_enzyme	0.0
R_SALCH5_duplicate_5_enzyme	0.0
R_SALCH4_enzyme	0.0
R_SALCH4_duplicate_2_enzyme	0.0
R_SALCH4_duplicate_3_enzyme	0.0
R_SALCH4_duplicate_4_enzyme	0.0
R_SALCH4_duplicate_5_enzyme	0.0
R_SALCH3_enzyme	0.0
R_SALCH3_duplicate_2_enzyme	0.0
R_SALCH3_duplicate_3_enzyme	0.0
R_SALCH3_duplicate_4_enzyme	0.0
R_SALCH3_duplicate_5_enzyme	0.0
R_SALCH2_enzyme	0.0
R_SALCH2_duplicate_2_enzyme	0.0
R_SALCH2_duplicate_3_enzyme	0.0
R_SALCH2_duplicate_4_enzyme	0.0
R_SALCH2_duplicate_5_enzyme	0.0
R_BTPT3_enzyme	0.0
R_GLUTRS_enzyme	1.8702528009023512e-06
R_GLUTRS_duplicate_2_enzyme	0.0
R_GLUTRR_enzyme	0.0
R_SLFR_enzyme	0.0
R_SLFR_duplicate_2_enzyme	0.0
R_NTPTP1_enzyme	0.0
R_CARSA_enzyme	0.0
R_LPD5_enzyme	0.0
R_LPD5_duplicate_2_enzyme	0.0
R_LPD5_duplicate_3_enzyme	0.0
R_LPD5_duplicate_4_enzyme	0.0
R_NUTPTP2_enzyme	0.0
R_2HOHPHDB_enzyme	0.0
R_H2Ot_enzyme	0
R_PPAKr_enzyme	0.0
R_PPAKr_duplicate_2_enzyme	0.0
R_CBL1abc_enzyme	0
R_PTRCt2_enzyme	0
R_HOPNTAL_enzyme	0.0
R_HOPNTAL_duplicate_2_enzyme	0.0
R_HOPNTAL_duplicate_3_enzyme	0.0
R_METTHFD_enzyme	0.0
R_ANTHMN1_enzyme	0.0
R_LEUTRS_enzyme	2.8590157270326587e-06
R_ANTHMN2_enzyme	0.0
R_MTHFR2_enzyme	0.0
R_MDH_enzyme	0.0
R_MDH_duplicate_2_enzyme	0.0
R_DHDPS_enzyme	0.0
R_DHDPS_duplicate_2_enzyme	0.0
R_DHDPS_duplicate_3_enzyme	0.0
R_DHDPS_duplicate_4_enzyme	0.0
R_BZALt_enzyme	0
R_BPHEDO1_enzyme	0.0
R_MDH2_enzyme	0
R_BPHEDO2_enzyme	0.0
R_FBA_enzyme	0.0
R_FBA_duplicate_2_enzyme	0.0
R_FBA_duplicate_3_enzyme	0.0
R_FBA_duplicate_4_enzyme	0.0
R_PERD_enzyme	0
R_UGLYCH_enzyme	0.0
R_AKGDH_enzyme	0.0
R_AKGDH_duplicate_2_enzyme	0.0
R_AKGDH_duplicate_3_enzyme	0.0
R_AKGDH_duplicate_4_enzyme	0.0
R_ILEtr_enzyme	0
R_ALATRS_enzyme	3.879601643940926e-06
R_MECDPDHT_enzyme	0.0
R_PHETRS_enzyme	1.003459286046499e-06
R_FLVRx_enzyme	0.0
R_FLVRx_duplicate_2_enzyme	0.0
R_HYDRTS_enzyme	0.0
R_HYDRTS_duplicate_2_enzyme	0.0
R_HYDRTS_duplicate_3_enzyme	0.0
R_HYDRTS_duplicate_4_enzyme	0.0
R_HYDRTS_duplicate_5_enzyme	0.0
R_HYDRTS_duplicate_6_enzyme	0.0
R_HYDRTS_duplicate_7_enzyme	0.0
R_PTRCabc_enzyme	0.0
R_PTRCabc_duplicate_2_enzyme	0.0
R_GALCTtr_enzyme	0
R_CHCOAL_enzyme	0.0
R_CHCOAL_duplicate_2_enzyme	0.0
R_MALTTRabc_enzyme	0
R_LYSTRS_enzyme	1.5155430567392904e-06
R_4FLRBZt_enzyme	0
R_SPMDabc_enzyme	1.0062277615070341e-08
R_SPMDabc_duplicate_2_enzyme	0.0
R_G5SD_enzyme	0.0
R_KYNATESYN_enzyme	0
R_FBP_enzyme	0.0
R_FBP_duplicate_2_enzyme	0.0
R_FBP_duplicate_3_enzyme	0.0
R_ACt2r_enzyme	0
R_ADOCBLS_enzyme	0.0
R_GGMT2_enzyme	0.0
R_GGMT2_duplicate_2_enzyme	0.0
R_GGMT2_duplicate_3_enzyme	0.0
R_GGMT2_duplicate_4_enzyme	0.0
R_GGMT1_enzyme	0.0
R_GGMT1_duplicate_2_enzyme	0.0
R_GGMT1_duplicate_3_enzyme	0.0
R_GGMT1_duplicate_4_enzyme	0.0
R_GAM_enzyme	0.0
R_GAM_duplicate_2_enzyme	0.0
R_GLUN2_enzyme	0.0
R_GLUN2_duplicate_2_enzyme	0.0
R_MNAO15_enzyme	0.0
R_LPS_enzyme	0
R_CHLtr_enzyme	0
R_DCTPD_enzyme	0.0
R_DCTPDA2_enzyme	0.0
R_ADPRDP_enzyme	0.0
R_GLCURt2r_enzyme	0
R_THFAT_enzyme	0.0
R_THFAT_duplicate_2_enzyme	0.0
R_MACACI_enzyme	0.0
R_FORTF_enzyme	0.0
R_OMMBZH_enzyme	0
R_G6Pt6_2_enzyme	0
R_XPPT_enzyme	0.0
R_ACACT1r_enzyme	0.0
R_ACACT1r_duplicate_2_enzyme	0.0
R_ACACT1r_duplicate_3_enzyme	0.0
R_ACACT1r_duplicate_4_enzyme	0.0
R_ACACT1r_duplicate_5_enzyme	0.0
R_ACACT1r_duplicate_6_enzyme	0.0
R_ACACT1r_duplicate_7_enzyme	0.0
R_ACACT1r_duplicate_8_enzyme	0.0
R_ACACT1r_duplicate_9_enzyme	0.0
R_ACACT1r_duplicate_10_enzyme	0.0
R_ACACT1r_duplicate_11_enzyme	0.0
R_ACACT1r_duplicate_12_enzyme	0.0
R_ACACT1r_duplicate_13_enzyme	0.0
R_ACACT1r_duplicate_14_enzyme	0.0
R_ACACT1r_duplicate_15_enzyme	0.0
R_ACACT1r_duplicate_16_enzyme	0.0
R_ACACT1r_duplicate_17_enzyme	0.0
R_ACACT1r_duplicate_18_enzyme	0.0
R_ACACT1r_duplicate_19_enzyme	0.0
R_ACACT1r_duplicate_20_enzyme	0.0
R_CYSSADS_enzyme	0.0
R_HTTOG_enzyme	0
R_SHCHCC_enzyme	0.0
R_DHR_enzyme	0.0
R_DHR_duplicate_2_enzyme	0.0
R_CATOCS_enzyme	0
R_PPGS_enzyme	1.4863421505689623e-07
R_GENDO_enzyme	0.0
R_HATRAZE2_enzyme	0.0
R_ADSK_enzyme	0.0
R_FCLT_enzyme	0.0
R_HATRAZE1_enzyme	0.0
R_TRPD_enzyme	0.0
R_TRPD_duplicate_2_enzyme	0.0
R_ADSLFK2_enzyme	0.0
R_HACD5_enzyme	0.0
R_HACD5_duplicate_2_enzyme	0.0
R_HACD5_duplicate_3_enzyme	0.0
R_HACD5_duplicate_4_enzyme	0.0
R_HACD5_duplicate_5_enzyme	0.0
R_HACD5_duplicate_6_enzyme	0.0
R_HACD5_duplicate_7_enzyme	0.0
R_UNAMPLA_enzyme	0
R_MOHMT_enzyme	0.0
R_BTS4_enzyme	0.0
R_PPG2DGp_enzyme	0.0
R_NADSG_enzyme	0.0
R_UAAGDS_enzyme	4.791560769081117e-07
R_AMID2_enzyme	0.0
R_AMID2_duplicate_2_enzyme	0.0
R_AMID2_duplicate_3_enzyme	0.0
R_TAUDO_enzyme	0.0
R_TAUDO_duplicate_2_enzyme	0.0
R_TAUDO_duplicate_3_enzyme	0.0
R_TAUDO_duplicate_4_enzyme	0.0
R_TAUDO_duplicate_5_enzyme	0.0
R_TAUDO_duplicate_6_enzyme	0.0
R_TAUDO_duplicate_7_enzyme	0.0
R_TAUDO_duplicate_8_enzyme	0.0
R_TAUDO_duplicate_9_enzyme	0.0
R_TAUDO_duplicate_10_enzyme	0.0
R_THRtr_enzyme	0
R_AMDS6_enzyme	0.0
R_AMDS6_duplicate_2_enzyme	0.0
R_AMDS6_duplicate_3_enzyme	0.0
R_ACPCD_enzyme	0.0
R_HMR_7756_enzyme	0.0
R_HMR_7756_duplicate_2_enzyme	0.0
R_HMR_7756_duplicate_3_enzyme	0.0
R_AMDS3_enzyme	0.0
R_AMDS3_duplicate_2_enzyme	0.0
R_AMDS3_duplicate_3_enzyme	0.0
R_2HISOPD_enzyme	0.0
R_AMDS2_enzyme	0.0
R_AMDS2_duplicate_2_enzyme	0.0
R_AMDS2_duplicate_3_enzyme	0.0
R_CADVt_enzyme	0
R_TMPPP_enzyme	0.0
R_NPPDO_enzyme	0.0
R_NPPDO_duplicate_2_enzyme	0.0
R_NPPDO_duplicate_3_enzyme	0.0
R_NPPDO_duplicate_4_enzyme	0.0
R_NPPDO_duplicate_5_enzyme	0.0
R_NPPDO_duplicate_6_enzyme	0.0
R_HACD1_enzyme	0.0
R_HACD1_duplicate_2_enzyme	0.0
R_HACD1_duplicate_3_enzyme	0.0
R_HACD1_duplicate_4_enzyme	0.0
R_HACD1_duplicate_5_enzyme	0.0
R_HACD1_duplicate_6_enzyme	0.0
R_HACD1_duplicate_7_enzyme	0.0
R_HACD2_enzyme	0.0
R_HACD2_duplicate_2_enzyme	0.0
R_HACD2_duplicate_3_enzyme	0.0
R_HACD2_duplicate_4_enzyme	0.0
R_HACD2_duplicate_5_enzyme	0.0
