R_FMETTRS_enzyme	95040	95040
R_S7PI_enzyme	1692	1692
R_HMPK1_enzyme	1296	1296
R_MCDC_enzyme	136.79999999999998	136.79999999999998
R_ACPS1_enzyme	612	612
R_PGCM_enzyme	232758	232758
R_DAPE_enzyme	271800	271800
R_BETALDHx_enzyme	39600	39600
R_ILETA_enzyme	47160	47160
R_ICDHx_enzyme	166320	166320
R_METAT_enzyme	1674.7506	1674.7506
R_PCNO_enzyme	216000	216000
R_ASPK_enzyme	57132	57132
R_MGSA_enzyme	984600	984600
R_PAPSR_enzyme	1375.2	1375.2
R_IPMD_enzyme	72000	72000
R_PAPSR2_enzyme	1375.2	1375.2
R_PDX5POi_enzyme	51768	51768
R_FLVR_enzyme	195768	195768
R_HSDy_enzyme	86400	86400
R_MECDPS_enzyme	8100	8100
R_GLNS_enzyme	10800	10800
R_P5CD_enzyme	5760	5760
R_LDH_L_enzyme	2374200	2374200
R_ASNN_enzyme	127800	127800
R_GLYCK_enzyme	1260000	1260000
R_NODOx_enzyme	1355400	1355400
R_ORPT_enzyme	1008.0000000000001	1008.0000000000001
R_HSK_enzyme	48960	48960
R_PPPGO_enzyme	236.70000000000002	236.70000000000002
R_GAPD_enzyme	234000	234000
R_METS_enzyme	15060.06	15060.06
R_UMPK_enzyme	1570320	1570320
R_TPI_enzyme	42606000	42606000
R_ADCS_enzyme	1908	1908
R_MAN6PI_enzyme	4935600	4935600
R_ICL_enzyme	39618	39618
R_DURIPP_enzyme	58139.99999999999	58139.99999999999
R_TDP_enzyme	1440	1440
R_TMDS_enzyme	64800	64800
R_EDTXS1_enzyme	471600	471600
R_ASPTRS_enzyme	540	540
R_A5PISO_enzyme	784800	784800
R_ALKP_enzyme	86850	86850
R_FOMETRi_enzyme	68040	68040
R_ATPPRT_enzyme	6876	6876
R_DADK_enzyme	585243	585243
R_THRS_enzyme	8640	8640
R_GARFT_enzyme	39996	39996
R_UREA_enzyme	12600000	12600000
R_GUAPRT_enzyme	33588	33588
R_PGLYCP_enzyme	338400	338400
R_DHPS2_enzyme	355.85999999999996	355.85999999999996
R_UDPGD_enzyme	8460	8460
R_URIDK2r_enzyme	32040	32040
R_OBTFL_enzyme	30834.000000000004	30834.000000000004
R_ETHAAL_enzyme	99216	99216
R_LEUTA_enzyme	47160	47160
R_ACKr_enzyme	2739600	2739600
R_ACOATA_enzyme	317.88	317.88
R_CBIAT_enzyme	73.8	73.8
R_BACCL_enzyme	1836	1836
R_NT5C_enzyme	32184	32184
R_PACCOAL_enzyme	72000	72000
R_CYTK1_enzyme	187200	187200
R_CYTK2_enzyme	187200	187200
R_UAMAS_enzyme	62280	62280
R_TRE6PP_enzyme	52902	52902
R_GLUDC_enzyme	28854.000000000004	28854.000000000004
R_IPPS_enzyme	12600	12600
R_ASP4DC_enzyme	796770	796770
R_GTPDPK_enzyme	262800	262800
R_IGPDH_enzyme	3600000	3600000
R_PGAMT_enzyme	14244.84	14244.84
R_PPBNGS_enzyme	57960.00000000001	57960.00000000001
R_SERD_L_enzyme	639306	639306
R_CS_enzyme	79200	79200
R_RBFK_enzyme	13500	13500
R_AMPN_enzyme	115200	115200
R_DNTPPA_enzyme	16524	16524
R_TYRTRS_enzyme	27720	27720
R_ADSL1r_enzyme	2520	2520
R_PMANM_enzyme	18198	18198
R_AGDC_enzyme	180000	180000
